query_d39v	target_tigr4	alnlen	mismatches	qstart	qend	tstart	tend	evalue	bitscore	len_d39v	orient_d39v	left_d39v	right_d39v	len_tigr4	orient_tigr4	left_tigr4	right_tigr4
IGR_D39V_1227	IGR_NC_003028.3_1307	50	0	1	50	1	50	2.850E-24	91.0	50	TANDEM(--)	SPV_1468	SPV_1469	50	TANDEM(--)	SP_RS08170	SP_RS08175
IGR_D39V_1291	IGR_NC_003028.3_1372	65	0	1	65	1	65	8.868E-33	118.0	65	TANDEM(--)	SPV_1546	SPV_1547	65	TANDEM(--)	SP_RS08590	SP_RS08595
IGR_D39V_1323	IGR_NC_003028.3_1420	164	0	1	164	1	164	7.336E-89	295.0	164	TANDEM(--)	SPV_1578	SPV_1579	164	TANDEM(--)	SP_RS08875	SP_RS08880
IGR_D39V_1451	IGR_NC_003028.3_1562	111	0	1	111	1	111	7.565E-59	200.0	111	TANDEM(--)	SPV_1768	SPV_1769	111	TANDEM(--)	SP_RS09905	SP_RS09915
IGR_D39V_1483	IGR_NC_003028.3_1592	52	0	1	52	1	52	2.091E-25	95.0	52	TANDEM(--)	SPV_2423	SPV_1821	52	TANDEM(--)	SP_RS10170	SP_RS10175
IGR_D39V_0012	IGR_NC_003028.3_0015	200	0	1	200	1	200	3.072E-109	360.0	200	TANDEM(++)	SPV_0024	SPV_0025	200	TANDEM(++)	SP_RS00135	SP_RS00140
IGR_D39V_0673	IGR_NC_003028.3_0710	134	0	1	134	1	134	7.111E-72	242.0	134	TANDEM(++)	SPV_0777	SPV_0778	134	TANDEM(++)	SP_RS04345	SP_RS04350
IGR_D39V_0737	IGR_NC_003028.3_0779	60	0	1	60	1	60	6.068E-30	109.0	60	CONVERGENT	SPV_0853	SPV_0854	60	CONVERGENT	SP_RS04785	SP_RS04790
IGR_D39V_1172	IGR_NC_003028.3_1244	181	0	1	181	1	181	1.745E-98	326.0	181	TANDEM(--)	SPV_1406	SPV_1407	181	TANDEM(--)	SP_RS07770	SP_RS07775
IGR_D39V_1204	IGR_NC_003028.3_1286	48	0	1	48	1	48	3.885E-23	88.0	48	CONVERGENT	SPV_1444	SPV_1445	48	CONVERGENT	SP_RS08040	SP_RS08045
IGR_D39V_1300	IGR_NC_003028.3_1381	51	0	1	51	1	51	7.719E-25	93.0	51	TANDEM(--)	SPV_1557	SPV_1558	51	TANDEM(--)	SP_RS08645	SP_RS08650
IGR_D39V_1428	IGR_NC_003028.3_1539	54	0	1	54	1	54	1.534E-26	98.0	54	TANDEM(--)	SPV_1739	SPV_1740	54	TANDEM(--)	SP_RS09750	SP_RS09755
IGR_D39V_0749	IGR_NC_003028.3_0793	94	0	1	94	1	94	3.238E-49	170.0	94	TANDEM(--)	SPV_0872	SPV_0873	94	TANDEM(--)	SP_RS04890	SP_RS04895
IGR_D39V_0877	IGR_NC_003028.3_0818	55	0	55	1	1	55	4.156E-27	100.0	55	TANDEM(--)	SPV_0901	SPV_0900	55	TANDEM(++)	SP_RS05030	SP_RS05035
IGR_D39V_1655	IGR_NC_003028.3_1768	58	0	1	58	1	58	8.266E-29	105.0	58	TANDEM(--)	SPV_2045	SPV_2046	58	TANDEM(--)	SP_RS11325	SP_RS11330
IGR_D39V_0056	IGR_NC_003028.3_0060	134	0	1	134	1	134	7.111E-72	242.0	134	TANDEM(++)	SPV_0077	SPV_2463	309	TANDEM(++)	SP_RS00410	SP_RS00415
IGR_D39V_0120	IGR_NC_003028.3_0105	177	0	1	177	1	177	3.207E-96	319.0	177	DIVERGENT	SPV_0133	SPV_0134	177	DIVERGENT	SP_RS00640	SP_RS00645
IGR_D39V_0184	IGR_NC_003028.3_0170	24	0	1	24	1	24	1.615E-09	45.0	24	TANDEM(++)	SPV_0201	SPV_0202	24	TANDEM(++)	SP_RS01050	SP_RS01055
IGR_D39V_0248	IGR_NC_003028.3_0233	189	0	1	189	1	189	5.170E-103	340.0	189	DIVERGENT	SPV_0266	SPV_0267	189	DIVERGENT	SP_RS01405	SP_RS01410
IGR_D39V_0615	IGR_NC_003028.3_0646	108	0	1	108	1	108	3.787E-57	195.0	108	TANDEM(++)	SPV_0700	SPV_0701	108	TANDEM(++)	SP_RS03900	SP_RS03905
IGR_D39V_0679	IGR_NC_003028.3_0720	270	0	1	270	1	270	7.513E-149	485.0	270	TANDEM(++)	SPV_0784	SPV_0785	505	CONVERGENT	SP_RS04400	SP_RS04405
IGR_D39V_1613	IGR_NC_003028.3_1726	24	0	1	24	1	24	1.615E-09	45.0	24	TANDEM(--)	SPV_1990	SPV_1991	24	TANDEM(--)	SP_RS11030	SP_RS11035
IGR_D39V_1645	IGR_NC_003028.3_1757	43	0	1	43	1	43	2.667E-20	79.0	43	TANDEM(--)	SPV_2030	SPV_2031	43	TANDEM(--)	SP_RS11250	SP_RS11255
IGR_D39V_0014	IGR_NC_003028.3_0016	33	0	1	33	154	186	1.261E-14	61.0	33	TANDEM(++)	SPV_2459	SPV_0027	186	TANDEM(++)	SP_RS00140	SP_RS00145
IGR_D39V_0046	IGR_NC_003028.3_0052	115	0	1	115	1	115	4.102E-61	208.0	115	TANDEM(++)	SPV_0070	SPV_0071	115	TANDEM(++)	SP_RS00360	SP_RS00365
IGR_D39V_0174	IGR_NC_003028.3_0161	160	0	1	160	1	160	1.349E-86	288.0	160	TANDEM(++)	SPV_0191	SPV_2483	266	TANDEM(++)	SP_RS12610	SP_RS01005
IGR_D39V_0313	IGR_NC_003028.3_0307	75	0	1	75	1	75	1.899E-38	136.0	75	TANDEM(++)	SPV_0342	SPV_0343	75	TANDEM(++)	SP_RS01830	SP_RS01835
IGR_D39V_0377	IGR_NC_003028.3_0384	167	0	1	167	1	167	1.469E-90	301.0	167	DIVERGENT	SPV_0423	SPV_0424	167	DIVERGENT	SP_RS02335	SP_RS02340
IGR_D39V_0473	IGR_NC_003028.3_0498	111	0	1	111	1	111	7.565E-59	200.0	111	TANDEM(++)	SPV_0534	SPV_0535	111	TANDEM(++)	SP_RS03015	SP_RS03020
IGR_D39V_0669	IGR_NC_003028.3_0706	85	0	1	85	1	85	4.078E-44	154.0	85	TANDEM(++)	SPV_0773	SPV_0774	136	TANDEM(++)	SP_RS04325	SP_RS04330
IGR_D39V_0154	IGR_NC_003028.3_0145	254	0	1	254	1	254	8.487E-140	457.0	254	TANDEM(--)	SPV_0173	SPV_0174	254	TANDEM(--)	SP_RS00905	SP_RS00910
IGR_D39V_0186	IGR_NC_003028.3_0172	77	0	1	77	1	77	1.396E-39	139.0	77	TANDEM(++)	SPV_0203	SPV_0204	77	TANDEM(++)	SP_RS01060	SP_RS01065
IGR_D39V_0346	IGR_NC_003028.3_0347	36	0	1	36	1	36	2.501E-16	66.0	36	TANDEM(++)	SPV_0388	SPV_0389	36	TANDEM(++)	SP_RS02100	SP_RS02105
IGR_D39V_0410	IGR_NC_003028.3_0418	26	0	1	26	1	26	1.184E-10	48.0	26	TANDEM(++)	SPV_0458	SPV_0459	26	TANDEM(++)	SP_RS02520	SP_RS02525
IGR_D39V_0060	IGR_NC_003028.3_0064	42	0	1	42	153	194	9.850E-20	77.0	42	TANDEM(++)	SPV_2464	SPV_0083	194	TANDEM(++)	SP_RS00435	SP_RS00440
IGR_D39V_0092	IGR_NC_003028.3_0091	34	0	1	34	386	419	3.413E-15	62.0	34	TANDEM(++)	SPV_2470	SPV_2099	751	DIVERGENT	SP_RS00580	SP_RS00585
IGR_D39V_0156	IGR_NC_003028.3_0147	131	0	1	131	1	131	3.555E-70	236.0	131	DIVERGENT	SPV_0175	SPV_0176	131	DIVERGENT	SP_RS00915	SP_RS00920
IGR_D39V_0831	IGR_NC_003028.3_0859	68	0	68	1	1	68	1.765E-34	123.0	68	TANDEM(--)	SPV_0955	SPV_0954	68	TANDEM(++)	SP_RS05285	SP_RS05290
IGR_D39V_0895	IGR_NC_003028.3_0954	35	0	1	35	1	35	9.239E-16	64.0	35	TANDEM(--)	SPV_1048	SPV_1049	35	TANDEM(--)	SP_RS05835	SP_RS05840
IGR_D39V_1087	IGR_NC_003028.3_1159	141	0	1	141	1	141	7.726E-76	254.0	141	DIVERGENT	SPV_1298	SPV_1299	293	DIVERGENT	SP_RS07220	SP_RS07225
IGR_D39V_1425	IGR_NC_003028.3_1537	127	0	1	127	1	127	6.550E-68	229.0	127	TANDEM(--)	SPV_1737	SPV_2546	375	TANDEM(--)	SP_RS09740	SP_RS09745
IGR_D39V_1457	IGR_NC_003028.3_1568	66	0	1	66	1	66	2.403E-33	120.0	66	TANDEM(--)	SPV_1775	SPV_1776	66	TANDEM(--)	SP_RS09940	SP_RS09945
IGR_D39V_1521	IGR_NC_003028.3_1629	152	0	1	152	1	152	4.565E-82	274.0	152	TANDEM(--)	SPV_1866	SPV_1867	152	TANDEM(--)	SP_RS10395	SP_RS10400
IGR_D39V_1553	IGR_NC_003028.3_1664	67	0	1	67	1	67	6.514E-34	122.0	67	TANDEM(--)	SPV_1922	SPV_1923	67	TANDEM(--)	SP_RS10675	SP_RS10680
IGR_D39V_1649	IGR_NC_003028.3_1760	55	0	1	55	1	55	4.156E-27	100.0	55	DIVERGENT	SPV_2035	SPV_2036	55	DIVERGENT	SP_RS11275	SP_RS11280
IGR_D39V_0956	IGR_NC_003028.3_1019	49	0	1	49	1	49	1.052E-23	89.0	49	TANDEM(--)	SPV_1132	SPV_1133	49	TANDEM(--)	SP_RS06255	SP_RS06260
IGR_D39V_1000	IGR_NC_003028.3_1076	29	0	1	29	401	429	2.348E-12	53.0	29	CONVERGENT	SPV_1186	SPV_1187	429	TANDEM(--)	SP_RS06620	SP_RS06625
IGR_D39V_0947	IGR_NC_003028.3_1010	95	0	1	95	1	95	8.783E-50	172.0	95	TANDEM(--)	SPV_1122	SPV_1123	95	TANDEM(--)	SP_RS06205	SP_RS06210
IGR_D39V_1075	IGR_NC_003028.3_1146	83	0	1	83	1	83	5.546E-43	150.0	83	TANDEM(--)	SPV_1278	SPV_1279	83	TANDEM(--)	SP_RS07120	SP_RS07125
IGR_D39V_1107	IGR_NC_003028.3_1184	141	0	1	141	1	141	2.191E-75	254.0	145	TANDEM(--)	SPV_1330	SPV_1331	305	DIVERGENT	SP_RS07395	SP_RS07400
IGR_D39V_1139	IGR_NC_003028.3_1216	31	0	1	31	1	31	1.721E-13	57.0	31	TANDEM(--)	SPV_1368	SPV_1369	31	TANDEM(--)	SP_RS07580	SP_RS07585
IGR_D39V_0916	IGR_NC_003028.3_0977	164	0	1	164	1	164	7.336E-89	295.0	164	TANDEM(--)	SPV_1079	SPV_1080	164	TANDEM(--)	SP_RS05985	SP_RS05990
IGR_D39V_1012	IGR_NC_003028.3_1087	28	0	1	28	1	28	8.675E-12	52.0	28	TANDEM(--)	SPV_1197	SPV_1198	28	TANDEM(--)	SP_RS06675	SP_RS06680
IGR_D39V_1108	IGR_NC_003028.3_1186	143	0	1	143	1	143	5.695E-77	258.0	143	DIVERGENT	SPV_1332	SPV_1333	143	DIVERGENT	SP_RS07410	SP_RS07415
IGR_D39V_1016	IGR_NC_003028.3_1091	91	0	1	91	1	91	1.623E-47	165.0	91	TANDEM(--)	SPV_1205	SPV_1206	91	TANDEM(--)	SP_RS06720	SP_RS06725
IGR_D39V_1080	IGR_NC_003028.3_1152	38	0	1	38	1	38	1.833E-17	70.0	38	CONVERGENT	SPV_1286	SPV_1287	38	CONVERGENT	SP_RS07160	SP_RS07165
IGR_D39V_1208	IGR_NC_003028.3_1290	75	0	1	75	1	75	1.899E-38	136.0	75	TANDEM(--)	SPV_1448	SPV_1449	75	TANDEM(--)	SP_RS08065	SP_RS08070
IGR_D39V_1209	IGR_NC_003028.3_1291	111	0	1	111	1	111	7.565E-59	200.0	111	DIVERGENT	SPV_1449	SPV_1450	111	DIVERGENT	SP_RS08070	SP_RS08075
IGR_D39V_1305	IGR_NC_003028.3_1385	56	0	1	56	1	56	1.126E-27	102.0	56	TANDEM(--)	SPV_1561	SPV_1562	56	TANDEM(--)	SP_RS08665	SP_RS08670
IGR_D39V_1369	IGR_NC_003028.3_1474	132	0	1	132	1	132	9.651E-71	238.0	132	DIVERGENT	SPV_1638	SPV_1639	132	DIVERGENT	SP_RS09215	SP_RS09220
IGR_D39V_1433	IGR_NC_003028.3_1544	191	0	1	191	1	191	3.815E-104	344.0	191	DIVERGENT	SPV_1745	SPV_1746	191	DIVERGENT	SP_RS09780	SP_RS13695
IGR_D39V_1126	IGR_NC_003028.3_1201	47	0	1	47	1	47	1.434E-22	86.0	47	TANDEM(--)	SPV_1350	SPV_1351	47	TANDEM(--)	SP_RS07495	SP_RS07500
IGR_D39V_1190	IGR_NC_003028.3_1266	50	0	1	50	1	50	4.817E-23	91.0	61	CONVERGENT	SPV_1430	SPV_1431	50	CONVERGENT	SP_RS12320	SP_RS07920
IGR_D39V_1222	IGR_NC_003028.3_1303	34	0	1	34	1	34	3.413E-15	62.0	34	TANDEM(++)	SPV_1464	SPV_2539	95	CONVERGENT	SP_RS08150	SP_RS08155
IGR_D39V_1414	IGR_NC_003028.3_1520	113	0	1	113	1	113	5.571E-60	204.0	113	TANDEM(--)	SPV_1718	SPV_1719	113	TANDEM(--)	SP_RS09635	SP_RS09640
IGR_D39V_0009	IGR_NC_003028.3_0010	121	0	1	121	1	121	1.639E-64	218.0	121	TANDEM(++)	SPV_0013	SPV_0014	121	TANDEM(++)	SP_RS00065	SP_RS00070
IGR_D39V_0073	IGR_NC_003028.3_0081	49	0	1	49	1	49	1.052E-23	89.0	49	TANDEM(--)	SPV_2095	SPV_0101	49	TANDEM(--)	SP_RS00525	SP_RS00530
IGR_D39V_1235	IGR_NC_003028.3_1316	90	0	1	90	1	90	5.983E-47	163.0	90	TANDEM(--)	SPV_1481	SPV_1482	90	TANDEM(--)	SP_RS08240	SP_RS08245
IGR_D39V_1363	IGR_NC_003028.3_1468	180	0	1	180	1	180	6.426E-98	324.0	180	TANDEM(--)	SPV_1631	SPV_1632	180	TANDEM(--)	SP_RS09180	SP_RS09185
IGR_D39V_1523	IGR_NC_003028.3_1631	129	0	1	129	1	129	4.826E-69	233.0	129	DIVERGENT	SPV_1868	SPV_1869	129	DIVERGENT	SP_RS10405	SP_RS10410
IGR_D39V_0246	IGR_NC_003028.3_0232	108	0	1	108	1	108	3.787E-57	195.0	108	TANDEM(--)	SPV_0265	SPV_2134	339	TANDEM(--)	SP_RS01400	SP_RS01405
IGR_D39V_0278	IGR_NC_003028.3_0268	59	0	1	59	1	59	2.240E-29	107.0	59	TANDEM(++)	SPV_2141	SPV_0301	59	TANDEM(++)	SP_RS01600	SP_RS01605
IGR_D39V_0310	IGR_NC_003028.3_0304	57	0	1	57	1	57	3.051E-28	104.0	57	TANDEM(++)	SPV_0338	SPV_0339	69	TANDEM(++)	SP_RS01810	SP_RS01815
IGR_D39V_0342	IGR_NC_003028.3_0343	33	0	1	33	1	33	1.261E-14	61.0	33	TANDEM(++)	SPV_0383	SPV_0384	33	TANDEM(++)	SP_RS02075	SP_RS02080
IGR_D39V_1272	IGR_NC_003028.3_1352	79	0	1	79	10	88	1.026E-40	143.0	79	TANDEM(--)	SPV_2382	SPV_1519	88	TANDEM(--)	SP_RS08445	SP_RS08450
IGR_D39V_1336	IGR_NC_003028.3_1439	69	0	1	69	1	69	4.785E-35	125.0	69	DIVERGENT	SPV_1592	SPV_1593	69	DIVERGENT	SP_RS08970	SP_RS08975
IGR_D39V_1368	IGR_NC_003028.3_1473	243	0	1	243	1	243	1.422E-133	437.0	243	TANDEM(--)	SPV_1637	SPV_1638	243	TANDEM(--)	SP_RS09210	SP_RS09215
IGR_D39V_1400	IGR_NC_003028.3_1505	37	0	1	37	1	37	6.771E-17	68.0	37	DIVERGENT	SPV_1704	SPV_1705	37	DIVERGENT	SP_RS09555	SP_RS09560
IGR_D39V_1432	IGR_NC_003028.3_1543	382	0	1	382	1	382	3.297E-212	686.0	382	TANDEM(--)	SPV_1744	SPV_1745	382	TANDEM(--)	SP_RS09775	SP_RS09780
IGR_D39V_1088	IGR_NC_003028.3_1160	59	0	1	59	1	59	2.240E-29	107.0	59	TANDEM(++)	SPV_1300	SPV_1301	59	TANDEM(++)	SP_RS07225	SP_RS07230
IGR_D39V_1120	IGR_NC_003028.3_1196	87	0	1	87	31	117	2.999E-45	157.0	87	TANDEM(--)	SPV_1343	SPV_1344	507	TANDEM(--)	SP_RS07465	SP_RS07470
IGR_D39V_1668	IGR_NC_003028.3_1782	182	0	1	182	1	182	4.740E-99	328.0	182	DIVERGENT	SPV_2067	SPV_2068	182	DIVERGENT	SP_RS11445	SP_RS11450
IGR_D39V_0005	IGR_NC_003028.3_0006	57	0	1	57	1	57	3.051E-28	104.0	57	TANDEM(++)	SPV_0006	SPV_0007	57	TANDEM(++)	SP_RS00030	SP_RS00035
IGR_D39V_0069	IGR_NC_003028.3_0077	138	0	1	138	1	138	3.862E-74	249.0	138	TANDEM(--)	SPV_0096	SPV_0097	138	TANDEM(--)	SP_RS00505	SP_RS00510
IGR_D39V_0165	IGR_NC_003028.3_0153	100	0	1	100	159	258	1.290E-52	181.0	100	TANDEM(++)	SPV_2479	SPV_0183	258	TANDEM(++)	SP_RS00950	SP_RS00955
IGR_D39V_0718	IGR_NC_003028.3_0758	83	0	1	83	1	83	5.546E-43	150.0	83	TANDEM(++)	SPV_0833	SPV_0834	83	TANDEM(++)	SP_RS04665	SP_RS04670
IGR_D39V_0750	IGR_NC_003028.3_0794	143	0	1	143	1	143	5.695E-77	258.0	143	DIVERGENT	SPV_0873	SPV_0874	143	DIVERGENT	SP_RS04895	SP_RS04900
IGR_D39V_0878	IGR_NC_003028.3_0817	185	0	185	1	329	513	9.498E-101	333.0	185	TANDEM(--)	SPV_0900	SPV_2514	513	TANDEM(++)	SP_RS05020	SP_RS05030
IGR_D39V_0665	IGR_NC_003028.3_0702	51	0	1	51	1	51	1.388E-24	93.0	53	TANDEM(++)	SPV_0765	SPV_0766	53	TANDEM(++)	SP_RS04285	SP_RS04290
IGR_D39V_0761	IGR_NC_003028.3_0806	373	0	1	373	1	373	4.062E-207	670.0	373	TANDEM(++)	SPV_0886	SPV_0887	373	TANDEM(++)	SP_RS04960	SP_RS04965
IGR_D39V_0793	IGR_NC_003028.3_0897	79	0	79	1	1	79	1.026E-40	143.0	79	TANDEM(--)	SPV_1000	SPV_0999	79	TANDEM(++)	SP_RS05520	SP_RS05525
IGR_D39V_0825	IGR_NC_003028.3_0865	30	0	30	1	1	30	6.356E-13	55.0	30	TANDEM(--)	SPV_0962	SPV_0961	30	TANDEM(++)	SP_RS05320	SP_RS05325
IGR_D39V_0379	IGR_NC_003028.3_0386	167	0	1	167	1	167	1.469E-90	301.0	167	TANDEM(++)	SPV_0425	SPV_0426	167	TANDEM(++)	SP_RS02345	SP_RS02350
IGR_D39V_1484	IGR_NC_003028.3_1593	86	0	1	86	1	86	1.106E-44	156.0	86	DIVERGENT	SPV_1821	SPV_1822	86	DIVERGENT	SP_RS10175	SP_RS10180
IGR_D39V_1612	IGR_NC_003028.3_1725	58	0	1	58	1	58	8.266E-29	105.0	58	TANDEM(--)	SPV_1988	SPV_1989	58	TANDEM(--)	SP_RS11020	SP_RS11025
IGR_D39V_0446	IGR_NC_003028.3_0467	28	0	1	28	272	299	8.675E-12	52.0	28	TANDEM(++)	SPV_2497	SPV_0501	299	TANDEM(++)	SP_RS13750	SP_RS02850
IGR_D39V_0478	IGR_NC_003028.3_0503	170	0	1	170	1	170	2.943E-92	306.0	170	DIVERGENT	SPV_0540	SPV_0541	170	DIVERGENT	SP_RS03045	SP_RS03050
IGR_D39V_0510	IGR_NC_003028.3_0541	115	0	1	115	1	115	4.102E-61	208.0	115	TANDEM(++)	SPV_0575	SPV_0576	115	TANDEM(++)	SP_RS03250	SP_RS03255
IGR_D39V_1480	IGR_NC_003028.3_0010	121	0	121	1	1	121	1.639E-64	218.0	121	TANDEM(--)	SPV_1818	SPV_1819	121	TANDEM(++)	SP_RS00065	SP_RS00070
IGR_D39V_1544	IGR_NC_003028.3_1652	166	0	1	166	1	166	5.410E-90	299.0	166	TANDEM(++)	SPV_1909	SPV_1910	166	TANDEM(++)	SP_RS10605	SP_RS10610
IGR_D39V_0213	IGR_NC_003028.3_0198	45	0	1	45	1	45	1.956E-21	82.0	45	TANDEM(++)	SPV_0232	SPV_0233	45	TANDEM(++)	SP_RS01205	SP_RS01210
IGR_D39V_0309	IGR_NC_003028.3_0303	65	0	1	65	1	65	8.868E-33	118.0	65	DIVERGENT	SPV_0337	SPV_0338	65	DIVERGENT	SP_RS01805	SP_RS01810
IGR_D39V_0341	IGR_NC_003028.3_0342	118	0	1	118	1	118	8.198E-63	213.0	118	TANDEM(++)	SPV_0381	SPV_0382	118	TANDEM(++)	SP_RS02065	SP_RS02070
IGR_D39V_0476	IGR_NC_003028.3_0501	39	0	1	39	1	39	4.963E-18	71.0	39	TANDEM(++)	SPV_0537	SPV_0538	39	TANDEM(++)	SP_RS03030	SP_RS03035
IGR_D39V_0540	IGR_NC_003028.3_0572	95	0	1	95	1	95	8.783E-50	172.0	95	TANDEM(++)	SPV_0610	SPV_0611	95	TANDEM(++)	SP_RS13615	SP_RS03440
IGR_D39V_0572	IGR_NC_003028.3_0604	69	0	1	69	105	173	4.785E-35	125.0	69	TANDEM(++)	SPV_2505	SPV_0650	173	TANDEM(++)	SP_RS03650	SP_RS03655
IGR_D39V_1182	IGR_NC_003028.3_1254	125	0	1	125	1	125	8.891E-67	225.0	125	TANDEM(++)	SPV_1417	SPV_1418	125	TANDEM(++)	SP_RS07835	SP_RS07840
