Sequence_ID	Slager_2018_Regulatory_Class	Sigma_Factor_Assignment	Has_Minus35_Signal	Has_Extended_Minus10_Signal	Has_Standard_Minus10_Signal	Has_ComX_CINbox_Signal
TSS_27_D39V_34008_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_28_D39V_35683_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_29_D39V_35787_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_30_D39V_39464_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_31_D39V_41369_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_32_D39V_41719_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_33_D39V_45561_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_34_D39V_55618_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_35_D39V_58788_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_36_D39V_65524_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_37_D39V_65800_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_38_D39V_73040_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_39_D39V_74057_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_40_D39V_75292_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_41_D39V_76686_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_42_D39V_78854_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_43_D39V_79885_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_44_D39V_80154_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_45_D39V_84261_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_46_D39V_86080_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_47_D39V_86084_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_48_D39V_87033_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_49_D39V_88197_+	ComX_SigmaX_Site	SigX	False	False	False	True
TSS_50_D39V_92084_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_51_D39V_93218_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_52_D39V_95269_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_53_D39V_97161_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_54_D39V_98446_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_55_D39V_98483_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_56_D39V_98544_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_57_D39V_99639_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_58_D39V_104149_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_59_D39V_104342_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_60_D39V_105394_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_61_D39V_105722_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_62_D39V_106080_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_63_D39V_106298_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_64_D39V_108919_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_65_D39V_113592_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_66_D39V_121347_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_67_D39V_125709_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_68_D39V_127630_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_69_D39V_127681_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_70_D39V_128769_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_71_D39V_130999_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_72_D39V_132229_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_73_D39V_137110_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_74_D39V_137994_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_75_D39V_138189_-	ComX_SigmaX_Site	SigX	False	False	False	True
TSS_76_D39V_138318_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_77_D39V_149645_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_78_D39V_149935_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_79_D39V_150914_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_80_D39V_151037_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_81_D39V_151192_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_82_D39V_151757_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_83_D39V_154902_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_84_D39V_155885_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_85_D39V_157954_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_86_D39V_160610_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_87_D39V_160696_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_88_D39V_164318_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_89_D39V_164903_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_90_D39V_167010_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_91_D39V_168371_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_92_D39V_168487_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_93_D39V_174470_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_94_D39V_174595_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_95_D39V_177669_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_96_D39V_179577_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_97_D39V_179647_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_98_D39V_183652_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_99_D39V_183663_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_100_D39V_184784_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_101_D39V_185086_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_102_D39V_187557_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_103_D39V_188146_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_104_D39V_189781_+	ComX_SigmaX_Site	SigX	False	False	False	True
TSS_105_D39V_189952_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_106_D39V_191604_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_107_D39V_194983_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_108_D39V_195877_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_109_D39V_196175_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_110_D39V_196465_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_111_D39V_200569_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_112_D39V_208214_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_113_D39V_210479_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_114_D39V_210542_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_115_D39V_210554_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_116_D39V_211008_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_117_D39V_212734_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_118_D39V_212907_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_119_D39V_218863_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_120_D39V_220835_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_121_D39V_223001_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_122_D39V_227704_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_123_D39V_230384_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_124_D39V_231599_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_125_D39V_231787_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_126_D39V_232279_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_127_D39V_232491_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_128_D39V_232585_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_129_D39V_234171_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_130_D39V_234340_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_131_D39V_239157_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_132_D39V_240680_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_133_D39V_242645_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_134_D39V_243294_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_135_D39V_247626_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_136_D39V_247889_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_137_D39V_249314_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_138_D39V_251510_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_139_D39V_256007_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_140_D39V_258547_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_141_D39V_259467_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_142_D39V_263684_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_143_D39V_264979_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_144_D39V_265161_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_145_D39V_265212_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_146_D39V_266066_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_147_D39V_266193_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_148_D39V_268493_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_149_D39V_272569_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_150_D39V_272798_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_151_D39V_274983_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_152_D39V_276801_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_153_D39V_277264_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_154_D39V_281916_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_155_D39V_285438_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_156_D39V_289191_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_157_D39V_290431_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_158_D39V_293172_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_159_D39V_299335_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_160_D39V_299401_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_161_D39V_301352_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_162_D39V_301481_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_163_D39V_302760_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_164_D39V_306329_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_165_D39V_309462_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_166_D39V_311032_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_167_D39V_311146_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_168_D39V_313950_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_169_D39V_314177_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_170_D39V_320310_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_171_D39V_333076_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_172_D39V_335271_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_173_D39V_343628_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_174_D39V_343629_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_175_D39V_344241_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_176_D39V_344596_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_177_D39V_347696_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_178_D39V_349928_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_179_D39V_351022_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_180_D39V_354945_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_181_D39V_358127_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_182_D39V_358201_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_183_D39V_361216_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_184_D39V_367898_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_185_D39V_373359_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_186_D39V_373434_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_187_D39V_376828_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_188_D39V_378503_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_189_D39V_379251_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_190_D39V_381662_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_191_D39V_383446_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_192_D39V_383590_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_193_D39V_384576_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_194_D39V_386370_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_195_D39V_386413_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_196_D39V_386446_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_197_D39V_388771_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_198_D39V_394420_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_199_D39V_396825_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_200_D39V_400169_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_201_D39V_400264_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_202_D39V_402710_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_203_D39V_402734_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_204_D39V_402777_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_205_D39V_403084_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_206_D39V_405311_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_207_D39V_409434_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_208_D39V_411544_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_209_D39V_414235_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_210_D39V_414315_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_211_D39V_416272_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_212_D39V_417560_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_213_D39V_419892_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_214_D39V_420055_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_215_D39V_424325_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_216_D39V_426292_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_217_D39V_436281_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_218_D39V_436430_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_219_D39V_438154_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_220_D39V_440744_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_221_D39V_441436_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_222_D39V_443966_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_223_D39V_443986_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_224_D39V_444667_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_225_D39V_448844_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_226_D39V_449009_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_227_D39V_454139_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_228_D39V_455487_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_229_D39V_456088_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_230_D39V_458000_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_231_D39V_459935_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_232_D39V_464802_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_233_D39V_466761_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_234_D39V_467922_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_235_D39V_474826_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_236_D39V_474831_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_237_D39V_477186_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_238_D39V_477290_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_239_D39V_477392_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_240_D39V_483648_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_241_D39V_483870_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_242_D39V_486042_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_243_D39V_487564_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_244_D39V_494753_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_245_D39V_496865_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_246_D39V_497356_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_247_D39V_502386_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_248_D39V_505295_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_249_D39V_505839_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_250_D39V_508697_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_251_D39V_513346_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_252_D39V_518836_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_253_D39V_519908_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_254_D39V_523206_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_255_D39V_523752_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_256_D39V_531618_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_257_D39V_535176_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_258_D39V_535267_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_259_D39V_537396_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_260_D39V_539877_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_261_D39V_543039_-	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_262_D39V_543257_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_263_D39V_545597_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_264_D39V_548279_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_265_D39V_550294_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_266_D39V_550817_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_267_D39V_551578_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_268_D39V_555251_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_269_D39V_555372_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_270_D39V_558642_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_271_D39V_560184_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_272_D39V_562666_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_273_D39V_563657_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_274_D39V_565153_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_275_D39V_565724_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_276_D39V_566467_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_277_D39V_569714_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_278_D39V_570269_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_279_D39V_577435_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_280_D39V_588464_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_281_D39V_588571_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_282_D39V_593596_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_283_D39V_596286_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_284_D39V_598829_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_285_D39V_605135_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_286_D39V_605401_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_287_D39V_606983_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_288_D39V_608097_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_289_D39V_609172_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_290_D39V_610328_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_291_D39V_610340_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_292_D39V_615786_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_293_D39V_615898_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_294_D39V_617583_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_295_D39V_617706_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_296_D39V_620133_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_297_D39V_623338_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_298_D39V_632244_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_299_D39V_633886_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_300_D39V_640376_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_301_D39V_640521_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_302_D39V_640785_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_303_D39V_642491_-	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_304_D39V_642911_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_305_D39V_644329_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
