Sequence_ID	Regulatory_Class	Sigma_Factor_Assignment	Has_Minus35_Signal	Has_Extended_Minus10_Signal	Has_Standard_Minus10_Signal	Has_ComX_CINbox_Signal
TIGR4_SP_0085_TSS_90828_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SpF01_sRNA_TSS_91266_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0086_TSS_91769_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0090_TSS_92933_+	ComX_SigmaX_Site	SigX	False	False	False	True
TIGR4_SP_0095_TSS_96820_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0107_TSS_109379_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0117_TSS_118380_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_F5_TSS_120198_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0118_TSS_120985_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_Spd-sr37_TSS_122215_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0127_TSS_128277_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0129_TSS_129159_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0141_TSS_139528_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0142_TSS_140916_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0148_TSS_145489_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0149_TSS_146472_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0151_TSS_148541_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0154_TSS_151283_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0158_TSS_155490_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0179_TSS_171819_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0186_TSS_176853_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0189_TSS_180869_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0191_TSS_181357_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0192_TSS_181990_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0194_TSS_182571_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0197_TSS_182815_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0199_TSS_185181_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0200_TSS_186987_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0202_TSS_188640_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0206_TSS_192019_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0208_TSS_192910_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0209_TSS_193352_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0212_TSS_194878_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0213_TSS_196070_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0215_TSS_196402_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0216_TSS_197068_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0217_TSS_197575_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0218_TSS_197877_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0219_TSS_198091_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0220_TSS_198578_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0221_TSS_198873_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0222_TSS_199478_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0224_TSS_200134_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0225_TSS_200748_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0226_TSS_201386_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0227_TSS_201577_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0228_TSS_202064_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_srn049_TSS_202335_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0229_TSS_202623_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0231_TSS_204269_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0232_TSS_205249_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0233_TSS_205539_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0235_TSS_205827_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0237_TSS_207165_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_L17DE_TSS_207654_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0238_TSS_208042_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_ccnE_TSS_209768_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0248_TSS_217861_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0251_TSS_220027_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0254_TSS_224730_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0255_TSS_227411_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_ccnA_TSS_228626_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_ccnB_TSS_230776_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_SP_0259_TSS_231600_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_ccnD_TSS_233186_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0261_TSS_233355_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0265_TSS_238172_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_SP_0267_TSS_241660_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0270_TSS_246991_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0272_TSS_247404_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_srn068_TSS_247807_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0273_TSS_248401_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0274_TSS_250286_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0275_TSS_255092_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0276_TSS_255348_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0280_TSS_257589_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0281_TSS_258510_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_SP_0287_TSS_265237_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0289_TSS_267536_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0290_TSS_268495_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_L13_leader_TSS_271945_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0295_TSS_272497_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS11655_TSS_275308_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0311_TSS_283758_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0314_TSS_287399_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0330_TSS_302885_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0342_TSS_315311_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0346_TSS_320053_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0347_TSS_321242_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0348_TSS_322236_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0349_TSS_322904_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0350_TSS_324015_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0351_TSS_324398_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0352_TSS_325744_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0354_TSS_327700_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0359_TSS_333738_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0371_TSS_349633_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0372_TSS_350245_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0373_TSS_351052_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0375_TSS_353699_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0377_TSS_355932_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0381_TSS_361260_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0384_TSS_363671_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0389_TSS_368361_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0400_TSS_378449_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0404_TSS_384031_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_Glycine_TSS_387425_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0409_TSS_389101_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0410_TSS_389849_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0416_TSS_395174_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_S15_TSS_396625_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0418_TSS_396668_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0419_TSS_396968_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0422_TSS_399369_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0423_TSS_400849_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0441_TSS_414817_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0442_TSS_415191_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0445_TSS_417417_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0454_TSS_426420_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0457_TSS_429839_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0459_TSS_432263_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0481_TSS_462113_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0483_TSS_463880_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_23S-methyl_TSS_466470_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0488_TSS_467156_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0493_TSS_469687_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_F13_TSS_469992_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS02430_TSS_470386_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0499_TSS_481568_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0500_TSS_482916_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0501_TSS_483516_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0506_TSS_487347_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0515_TSS_495355_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0517_TSS_497466_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0525_TSS_505204_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0535_TSS_513319_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_RS11830_TSS_514138_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0549_TSS_519266_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0552_TSS_520788_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_F16_TSS_528071_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0564_TSS_530183_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_F20_TSS_547541_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0585_TSS_554074_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_F21_TSS_557372_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0599_TSS_565783_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_SP_0603_TSS_569432_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_SP_0605_TSS_571561_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0611_TSS_577422_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0614_TSS_581279_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0615_TSS_582442_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0618_TSS_585747_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0622_TSS_589541_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0623_TSS_590023_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0626_TSS_592807_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0627_TSS_594243_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0631_TSS_597195_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0636_TSS_599956_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0658_TSS_628942_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TIGR4_SP_0661_TSS_631632_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0663_TSS_634175_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0665_TSS_640562_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0667_TSS_642920_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0668_TSS_644034_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0669_TSS_645110_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0671_TSS_646277_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0677_TSS_651835_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0681_TSS_653643_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0688_TSS_659275_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0690_TSS_661701_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0703_TSS_669646_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0715_TSS_680388_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_TPP_TSS_681808_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0730_TSS_694784_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0731_TSS_696403_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0736_TSS_698916_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0739_TSS_701485_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0745_TSS_706052_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0746_TSS_706834_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0748_TSS_707525_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0754_TSS_712916_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_RS11940_TSS_713684_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0758_TSS_716654_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0761_TSS_719879_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0762_TSS_721358_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0764_TSS_723173_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0766_TSS_725355_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0775_TSS_731739_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0785_TSS_738402_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0788_TSS_741745_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0791_TSS_745430_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0792_TSS_746457_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0797_TSS_749261_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0798_TSS_751944_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0802_TSS_755549_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0807_TSS_762487_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_RS11965_TSS_764779_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_RS03985_TSS_767076_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS11975_TSS_769198_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0825_TSS_774736_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0826_TSS_775745_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0828_TSS_777706_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0831_TSS_780057_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0841_TSS_788410_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0843_TSS_790233_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0846_TSS_792169_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS04165_TSS_796567_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0852_TSS_798314_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0856_TSS_803274_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0861_TSS_807569_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_2245_TSS_807856_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0866_TSS_813177_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0867_TSS_813430_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0869_TSS_815156_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0870_TSS_816370_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0871_TSS_817116_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0873_TSS_820272_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0875_TSS_822682_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0878_TSS_826390_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0880_TSS_829279_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0888_TSS_837746_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0896_TSS_850240_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0908_TSS_860839_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0910_TSS_863439_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0924_TSS_878639_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0927_TSS_879920_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0931_TSS_884147_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0935_TSS_887447_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0944_TSS_894357_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0945_TSS_894948_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0948_TSS_896877_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_RS04695_TSS_897641_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS04700_TSS_897942_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0956_TSS_904935_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0961_TSS_908032_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_F35_TSS_908663_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0967_TSS_914826_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0979_TSS_924517_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0981_TSS_927089_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_srn249_TSS_927825_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0988_TSS_932234_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0992_TSS_935272_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0993_TSS_935785_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS12065_TSS_938470_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_1001_TSS_941782_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_1002_TSS_943311_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_1004_TSS_946897_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
